"Obs","ctb_item_id","a_param","b_param","c_param","CTB_OBJECTIVE_ID","new_ctb_obj_id","CTB_PASSAGE_ID","NEW_CTB_PASSAGE_ID","ITEM_ORDER","CTB_OBJECTIVE_TITLE","CTB_LEVEL_ID","CTB_ANSWER_KEY"
"29",00307480,0.02634,481.171,0.2587,3116,3119,018,135,2,"Words in Context","M",1
"30",00308533,0.02673,527.729,0.2300,3116,3119,042,42,1,"Words in Context","A",1
"31",00308535,0.02673,571.350,0.2680,3116,3119,042,54,1,"Words in Context","A",1
"32",00306785,0.02786,563.955,0.2147,3116,3119,016,78,2,"Words in Context","M",2
"33",00307969,0.02910,594.715,0.3429,3116,3119,024,56,1,"Words in Context","D",3
"34",00307947,0.02910,604.573,0.2199,3116,3119,023,0,0,"Words in Context","D",3
"35",00306821,0.03185,476.905,0.2337,3116,3119,034,128,2,"Words in Context","E",3
"36",00307534,0.00442,305.518,0.2000,3117,3120,0,0,0,"Interpret Graphic Information","D",2
"37",00307580,0.00562,550.563,0.2000,3117,3120,018,0,0,"Interpret Graphic Information","M",2
"38",00308015,0.00579,579.698,0.2000,3117,3120,013,0,0,"Interpret Graphic Information","D",1
"39",00308359,0.00651,416.702,0.2000,3117,3120,001,82,1,"Interpret Graphic Information","A",3
"40",00308036,0.00700,589.596,0.2000,3117,3120,027,0,0,"Interpret Graphic Information","D",3
"41",00308365,0.00782,425.293,0.2000,3117,3120,001,82,2,"Interpret Graphic Information","A",1
"42",00306705,0.00840,484.497,0.2000,3117,3120,033,0,0,"Interpret Graphic Information","E",3
"43",00306741,0.00922,528.705,0.2784,3117,3120,009,71,2,"Interpret Graphic Information","E",2
"44",00306657,0.00982,319.382,0.2000,3117,3120,0,0,0,"Interpret Graphic Information","E",1
"45",00307795,0.01000,511.445,0.2000,3117,3120,014,111,1,"Interpret Graphic Information","D",4
"46",00306709,0.01024,416.887,0.2000,3117,3120,033,127,2,"Interpret Graphic Information","E",1
"47",00306677,0.01034,337.444,0.2000,3117,3120,001,1,2,"Interpret Graphic Information","E",2
"48",00308355,0.01035,386.407,0.2000,3117,3120,001,0,0,"Interpret Graphic Information","A",3
"49",00306947,0.01047,415.364,0.2000,3117,3120,032,124,1,"Interpret Graphic Information","E",2
"50",00307332,0.01082,531.231,0.2000,3117,3120,027,152,1,"Interpret Graphic Information","M",4
"51",00307536,0.01111,372.592,0.2000,3117,3120,0,0,0,"Interpret Graphic Information","D",2
"52",00308176,0.01116,420.114,0.2000,3117,3120,036,36,2,"Interpret Graphic Information","A",1
"53",00307338,0.01125,415.828,0.2039,3117,3120,009,101,2,"Interpret Graphic Information","D",3
"54",00306675,0.01143,320.668,0.2000,3117,3120,001,1,1,"Interpret Graphic Information","E",2
"55",00307761,0.01183,481.995,0.2000,3117,3120,025,57,2,"Interpret Graphic Information","D",4
"56",00308186,0.01193,546.890,0.1998,3117,3120,036,0,0,"Interpret Graphic Information","A",4
"57",00308178,0.01255,382.536,0.2000,3117,3120,036,0,0,"Interpret Graphic Information","A",1
"58",00306907,0.01259,447.680,0.2289,3117,3120,005,68,2,"Interpret Graphic Information","E",2
"59",00307720,0.01274,500.804,0.2344,3117,3120,024,148,1,"Interpret Graphic Information","M",2
"60",00307334,0.01296,503.827,0.1790,3117,3120,027,152,2,"Interpret Graphic Information","M",4
"61",00306945,0.01301,419.992,0.2071,3117,3120,032,125,1,"Interpret Graphic Information","E",4
"62",00308285,0.01417,532.924,0.2000,3117,3120,006,95,1,"Interpret Graphic Information","A",4
"63",00306903,0.01477,439.270,0.2000,3117,3120,005,67,1,"Interpret Graphic Information","E",4
"64",00308040,0.01497,515.196,0.2094,3117,3120,027,0,0,"Interpret Graphic Information","D",1
"65",00306955,0.01532,343.386,0.2000,3117,3120,029,0,0,"Interpret Graphic Information","E",3
"66",00307718,0.01546,487.064,0.1869,3117,3120,024,147,1,"Interpret Graphic Information","M",4
"67",00306951,0.01548,389.946,0.2106,3117,3120,032,124,2,"Interpret Graphic Information","E",4
"68",00308038,0.01555,456.936,0.1903,3117,3120,027,0,0,"Interpret Graphic Information","D",4
"69",00308174,0.01593,428.476,0.2000,3117,3120,036,36,1,"Interpret Graphic Information","A",4
"70",00307342,0.01667,435.581,0.2000,3117,3120,021,0,0,"Interpret Graphic Information","M",2
"71",00307584,0.01683,464.907,0.2120,3117,3120,018,18,2,"Interpret Graphic Information","M",1
"72",00306953,0.01715,435.467,0.2106,3117,3120,032,125,2,"Interpret Graphic Information","E",2
"73",00306905,0.01789,403.699,0.2266,3117,3120,005,5,1,"Interpret Graphic Information","E",3
"74",00306669,0.01798,317.327,0.2000,3117,3120,0,0,0,"Interpret Graphic Information","E",1
"75",00306779,0.01806,451.712,0.1777,3117,3120,016,16,1,"Interpret Graphic Information","M",3
"76",00307344,0.01888,485.548,0.2715,3117,3120,021,0,0,"Interpret Graphic Information","M",4
"77",00306711,0.01955,456.029,0.2857,3117,3120,003,65,1,"Interpret Graphic Information","E",3
"78",00306707,0.02014,370.478,0.2208,3117,3120,033,126,2,"Interpret Graphic Information","E",1
"79",00306959,0.02209,412.159,0.2161,3117,3120,029,122,1,"Interpret Graphic Information","E",2
"80",00306823,0.00762,405.274,0.2000,3118,3118,034,0,0,"Recall Information","E",2
"81",00307686,0.00823,411.109,0.2000,3118,3118,022,142,1,"Recall Information","M",3
"82",00306983,0.00858,486.943,0.2000,3118,3118,030,0,0,"Recall Information","E",4
"83",00308104,0.00869,540.861,0.1876,3118,3118,029,29,1,"Recall Information","D",1
"84",00308371,0.00913,621.253,0.2506,3118,3118,039,50,1,"Recall Information","A",4
"85",00308469,0.00933,479.735,0.2096,3118,3118,004,88,1,"Recall Information","A",2
"86",00307452,0.00936,445.680,0.2000,3118,3118,019,136,3,"Recall Information","M",4
"87",00307787,0.00965,587.998,0.1966,3118,3118,010,0,0,"Recall Information","D",2
"88",00308313,0.00971,435.605,0.2000,3118,3118,037,37,1,"Recall Information","A",3
"89",00307941,0.00994,410.938,0.2000,3118,3118,023,0,0,"Recall Information","D",3
"90",00308343,0.01005,477.469,0.2000,3118,3118,003,86,1,"Recall Information","A",1
"91",00308082,0.01012,432.401,0.2000,3118,3118,011,0,0,"Recall Information","D",3
"92",00306997,0.01021,491.899,0.2358,3118,3118,006,0,0,"Recall Information","E",2
"93",00307783,0.01096,424.764,0.2000,3118,3118,010,102,1,"Recall Information","D",2
"94",00306783,0.01163,451.180,0.2000,3118,3118,016,16,2,"Recall Information","M",2
"95",00307476,0.01166,377.350,0.2000,3118,3118,018,133,2,"Recall Information","M",3
"96",00307003,0.01174,442.960,0.2238,3118,3118,006,6,3,"Recall Information","E",1
"97",00307440,0.01188,503.172,0.1742,3118,3118,019,137,1,"Recall Information","M",2
"98",00306651,0.01193,313.785,0.2000,3118,3118,0,0,0,"Recall Information","E",3
"99",00306861,0.01193,448.256,0.2000,3118,3118,0,0,0,"Recall Information","E",4
"100",00307975,0.01194,436.663,0.2000,3118,3118,024,0,0,"Recall Information","D",2
"101",00307724,0.01201,457.303,0.2000,3118,3118,024,146,2,"Recall Information","M",3
"102",00307753,0.01220,465.663,0.2000,3118,3118,025,57,1,"Recall Information","D",1
"103",00308273,0.01243,581.081,0.2919,3118,3118,007,0,0,"Recall Information","A",2
"104",00307422,0.01245,448.485,0.2000,3118,3118,014,14,3,"Recall Information","M",2
"105",00307937,0.01247,460.036,0.2000,3118,3118,023,23,2,"Recall Information","D",2
"106",00307600,0.01248,470.895,0.2000,3118,3118,011,74,3,"Recall Information","M",2
"107",00307640,0.01272,525.935,0.2011,3118,3118,012,0,0,"Recall Information","D",1
"108",00307897,0.01279,512.645,0.1766,3118,3118,016,115,1,"Recall Information","D",4
"109",00306851,0.01283,353.818,0.2078,3118,3118,0,0,0,"Recall Information","E",2
"110",00306679,0.01335,415.075,0.2409,3118,3118,0,0,0,"Recall Information","E",2
"111",00307045,0.01339,481.244,0.1901,3118,3118,036,132,2,"Recall Information","E",3
"112",00308471,0.01353,554.888,0.2316,3118,3118,004,90,1,"Recall Information","A",3
"113",00308339,0.01358,548.441,0.2876,3118,3118,003,87,2,"Recall Information","A",1
"114",00307646,0.01364,481.595,0.2000,3118,3118,012,107,2,"Recall Information","D",3
"115",00306825,0.01366,537.357,0.2074,3118,3118,034,0,0,"Recall Information","E",4
"116",00307879,0.01369,473.069,0.1964,3118,3118,028,28,2,"Recall Information","D",2
"117",00307526,0.01401,489.426,0.1721,3118,3118,020,20,1,"Recall Information","M",4
"118",00307007,0.01402,382.069,0.2000,3118,3118,002,2,1,"Recall Information","E",1
"119",00307550,0.01402,392.622,0.2028,3118,3118,013,0,0,"Recall Information","M",1
"120",00308084,0.01406,468.875,0.2038,3118,3118,011,103,1,"Recall Information","D",1
"121",00307875,0.01448,466.225,0.2000,3118,3118,028,28,1,"Recall Information","D",2
"122",00307484,0.01468,396.281,0.2020,3118,3118,018,134,2,"Recall Information","M",3
"123",00307482,0.01496,428.622,0.2000,3118,3118,018,134,1,"Recall Information","M",2
"124",00308196,0.01497,555.501,0.2508,3118,3118,038,47,2,"Recall Information","A",2
"125",00307590,0.01513,453.785,0.2076,3118,3118,011,11,1,"Recall Information","M",2
"126",00308451,0.01518,446.766,0.2000,3118,3118,002,83,1,"Recall Information","A",3
"127",00306655,0.01523,322.089,0.2000,3118,3118,0,0,0,"Recall Information","E",1
"128",00307011,0.01531,369.444,0.2000,3118,3118,002,2,2,"Recall Information","E",4
"129",00307953,0.01531,427.764,0.2000,3118,3118,022,0,0,"Recall Information","D",4
"130",00308479,0.01539,462.323,0.2166,3118,3118,004,88,3,"Recall Information","A",2
"131",00306937,0.01541,370.157,0.2000,3118,3118,031,0,0,"Recall Information","E",1
"132",00308303,0.01554,468.630,0.2070,3118,3118,037,45,1,"Recall Information","A",3
"133",00307755,0.01569,451.814,0.2000,3118,3118,025,25,1,"Recall Information","D",3
"134",00307498,0.01574,502.859,0.1977,3118,3118,023,145,1,"Recall Information","M",1
"135",00306717,0.01588,420.576,0.2349,3118,3118,003,3,1,"Recall Information","E",4
"136",00307530,0.01596,482.675,0.2212,3118,3118,020,20,3,"Recall Information","M",3
"137",00306763,0.01597,381.742,0.2000,3118,3118,028,0,0,"Recall Information","E",3
"138",00307638,0.01598,461.995,0.1914,3118,3118,012,106,1,"Recall Information","D",2
"139",00307474,0.01622,357.619,0.2000,3118,3118,018,133,1,"Recall Information","M",1
"140",00307340,0.01622,393.728,0.2000,3118,3118,009,101,1,"Recall Information","D",3
"141",00308102,0.01633,463.279,0.1859,3118,3118,029,0,0,"Recall Information","D",3
"142",00308409,0.01641,530.616,0.2266,3118,3118,040,40,1,"Recall Information","A",2
"143",00308291,0.01644,609.260,0.2228,3118,3118,006,0,0,"Recall Information","A",2
"144",00306853,0.01683,284.597,0.2000,3118,3118,0,0,0,"Recall Information","E",3
"145",00306919,0.01683,414.277,0.2000,3118,3118,020,138,1,"Recall Information","M",4
"146",00307015,0.01703,460.582,0.3392,3118,3118,002,64,1,"Recall Information","E",2
"147",00306699,0.01715,359.459,0.2056,3118,3118,033,126,1,"Recall Information","E",3
"148",00306921,0.01725,415.658,0.2000,3118,3118,020,139,2,"Recall Information","M",4
"149",00308050,0.01729,533.198,0.2226,3118,3118,015,113,1,"Recall Information","D",3
"150",00307566,0.01731,484.142,0.1937,3118,3118,012,0,0,"Recall Information","M",2
"151",00308411,0.01743,538.753,0.2423,3118,3118,040,51,1,"Recall Information","A",3
"152",00307630,0.01749,423.210,0.2000,3118,3118,012,105,1,"Recall Information","D",3
"153",00306985,0.01757,353.695,0.2000,3118,3118,030,0,0,"Recall Information","E",1
"154",00307853,0.01757,475.546,0.2257,3118,3118,026,26,1,"Recall Information","D",2
"155",00307370,0.01801,538.685,0.2320,3118,3118,031,62,1,"Recall Information","D",1
"156",00307564,0.01806,432.381,0.1929,3118,3118,012,12,1,"Recall Information","M",1
"157",00307642,0.01870,433.898,0.2000,3118,3118,012,105,2,"Recall Information","D",4
"158",00308509,0.01880,551.821,0.1659,3118,3118,008,98,1,"Recall Information","A",4
"159",00308271,0.01884,511.726,0.2749,3118,3118,007,97,1,"Recall Information","A",3
"160",00307418,0.01891,398.966,0.1940,3118,3118,014,0,0,"Recall Information","M",3
"161",00308021,0.01897,482.431,0.1713,3118,3118,013,108,2,"Recall Information","D",4
"162",00306961,0.01924,398.485,0.2000,3118,3118,029,122,2,"Recall Information","E",4
"163",00307352,0.01928,494.651,0.1910,3118,3118,015,77,2,"Recall Information","M",3
"164",00307027,0.01938,490.115,0.2187,3118,3118,010,72,1,"Recall Information","E",3
"165",00308477,0.01946,487.546,0.1692,3118,3118,004,89,2,"Recall Information","A",4
"166",00307001,0.02015,422.543,0.2078,3118,3118,006,6,2,"Recall Information","E",4
"167",00307508,0.02028,513.090,0.2133,3118,3118,024,148,2,"Recall Information","M",3
"168",00306703,0.02046,387.711,0.1860,3118,3118,033,127,1,"Recall Information","E",4
"169",00307023,0.02105,495.186,0.1970,3118,3118,010,73,1,"Recall Information","E",3
"170",00308305,0.02108,469.005,0.2000,3118,3118,037,45,2,"Recall Information","A",4
"171",00308017,0.02110,463.412,0.2122,3118,3118,013,108,1,"Recall Information","D",1
"172",00307602,0.02150,535.739,0.2635,3118,3118,026,151,1,"Recall Information","M",2
"173",00307702,0.02161,457.175,0.1674,3118,3118,019,19,1,"Recall Information","M",4
"174",00307708,0.02165,476.549,0.2143,3118,3118,019,19,2,"Recall Information","M",3
"175",00308513,0.02201,536.965,0.1634,3118,3118,008,98,2,"Recall Information","A",4
"176",00307366,0.02201,542.770,0.2467,3118,3118,031,62,2,"Recall Information","D",2
"177",00308421,0.02313,555.441,0.1776,3118,3118,041,41,1,"Recall Information","A",4
"178",00306993,0.02351,442.264,0.2507,3118,3118,006,6,1,"Recall Information","E",1
"179",00306795,0.02523,470.148,0.2545,3118,3118,007,7,2,"Recall Information","E",2
"180",00308130,0.02593,514.469,0.2311,3118,3118,017,117,1,"Recall Information","D",2
"181",00307031,0.02853,483.290,0.2735,3118,3118,010,10,1,"Recall Information","E",1
"182",00306769,0.02869,437.305,0.2328,3118,3118,028,119,1,"Recall Information","E",3
"183",00308192,0.00512,576.999,0.2000,3119,3119,038,0,0,"Construct Meaning","A",4
"184",00307933,0.00522,716.792,0.2000,3119,3119,030,0,0,"Construct Meaning","D",3
"185",00308347,0.00606,527.602,0.2000,3119,3119,003,87,3,"Construct Meaning","A",1
"186",00308142,0.00783,478.668,0.2000,3119,3119,035,43,1,"Construct Meaning","A",3
"187",00308188,0.00820,532.453,0.2152,3119,3119,038,47,1,"Construct Meaning","A",2
"188",00307967,0.00860,453.585,0.2000,3119,3119,024,24,1,"Construct Meaning","D",2
"189",00307931,0.00864,556.376,0.2000,3119,3119,030,61,2,"Construct Meaning","D",2
"190",00308499,0.00896,503.313,0.2000,3119,3119,005,91,2,"Construct Meaning","A",4
"191",00308491,0.00904,591.515,0.2000,3119,3119,005,93,1,"Construct Meaning","A",1
"192",00307546,0.00929,527.315,0.2000,3119,3119,013,0,0,"Construct Meaning","M",3
"193",00306665,0.00939,362.713,0.2000,3119,3119,0,0,0,"Construct Meaning","E",3
"194",00307518,0.00969,500.891,0.2000,3119,3119,025,150,3,"Construct Meaning","M",2
"195",00308152,0.00983,492.375,0.2000,3119,3119,035,43,2,"Construct Meaning","A",1
"196",00308525,0.00994,601.891,0.2000,3119,3119,042,54,3,"Construct Meaning","A",4
"197",00308503,0.01004,624.237,0.2000,3119,3119,008,100,1,"Construct Meaning","A",4
"198",00307710,0.01008,485.346,0.2000,3119,3119,019,19,3,"Construct Meaning","M",2
"199",00308489,0.01019,645.433,0.2345,3119,3119,005,0,0,"Construct Meaning","A",1
"200",00308379,0.01030,627.765,0.1990,3119,3119,039,50,3,"Construct Meaning","A",4
"201",00306981,0.01056,402.388,0.2154,3119,3119,030,0,0,"Construct Meaning","E",1
"202",00308345,0.01057,500.094,0.2000,3119,3119,003,86,2,"Construct Meaning","A",4
"203",00307578,0.01073,485.019,0.1817,3119,3119,018,18,1,"Construct Meaning","M",4
"204",00307801,0.01075,477.749,0.2000,3119,3119,014,109,1,"Construct Meaning","D",1
"205",00307570,0.01083,436.754,0.2000,3119,3119,012,12,2,"Construct Meaning","M",1
"206",00308108,0.01085,529.901,0.2055,3119,3119,029,29,2,"Construct Meaning","D",2
"207",00307779,0.01099,452.443,0.2114,3119,3119,010,102,2,"Construct Meaning","D",1
"208",00308027,0.01109,601.356,0.2294,3119,3119,013,0,0,"Construct Meaning","D",3
"209",00307799,0.01163,552.310,0.2018,3119,3119,014,0,0,"Construct Meaning","D",4
"210",00307448,0.01168,457.951,0.2244,3119,3119,019,136,2,"Construct Meaning","M",1
"211",00307386,0.01200,470.887,0.1814,3119,3119,021,141,2,"Construct Meaning","M",4
"212",00307757,0.01202,461.350,0.2000,3119,3119,025,25,2,"Construct Meaning","D",3
"213",00308277,0.01204,616.439,0.2648,3119,3119,007,0,0,"Construct Meaning","A",2
"214",00308194,0.01252,528.847,0.2000,3119,3119,038,38,1,"Construct Meaning","A",4
"215",00308060,0.01265,531.124,0.1739,3119,3119,015,113,2,"Construct Meaning","D",1
"216",00308475,0.01291,482.614,0.2000,3119,3119,004,89,1,"Construct Meaning","A",3
"217",00307384,0.01299,431.697,0.2000,3119,3119,021,140,2,"Construct Meaning","M",4
"218",00307408,0.01301,440.989,0.2000,3119,3119,014,14,1,"Construct Meaning","M",2
"219",00308493,0.01309,525.493,0.2121,3119,3119,005,92,1,"Construct Meaning","A",4
"220",00308461,0.01317,488.170,0.2037,3119,3119,002,84,1,"Construct Meaning","A",3
"221",00307891,0.01333,494.867,0.1794,3119,3119,028,0,0,"Construct Meaning","D",3
"222",00307444,0.01334,498.337,0.2631,3119,3119,019,137,3,"Construct Meaning","M",3
"223",00307895,0.01341,525.146,0.1752,3119,3119,016,116,1,"Construct Meaning","D",4
"224",00307883,0.01363,533.166,0.1774,3119,3119,028,0,0,"Construct Meaning","D",4
"225",00308315,0.01365,433.624,0.2107,3119,3119,037,37,2,"Construct Meaning","A",3
"226",00308455,0.01372,582.317,0.3225,3119,3119,002,0,0,"Construct Meaning","A",2
"227",00308190,0.01376,688.390,0.2182,3119,3119,038,0,0,"Construct Meaning","A",1
"228",00307851,0.01400,504.176,0.2000,3119,3119,026,58,2,"Construct Meaning","D",4
"229",00307911,0.01426,530.846,0.2000,3119,3119,016,116,2,"Construct Meaning","D",4
"230",00308429,0.01448,545.938,0.2000,3119,3119,041,41,2,"Construct Meaning","A",4
"231",00307899,0.01458,639.346,0.2399,3119,3119,016,0,0,"Construct Meaning","D",3
"232",00307548,0.01466,470.210,0.1761,3119,3119,013,76,1,"Construct Meaning","M",1
"233",00307949,0.01472,501.304,0.2232,3119,3119,023,55,2,"Construct Meaning","D",1
"234",00308086,0.01495,514.718,0.1900,3119,3119,011,104,1,"Construct Meaning","D",4
"235",00308377,0.01495,520.037,0.2000,3119,3119,039,39,1,"Construct Meaning","A",2
"236",00307716,0.01505,459.795,0.1796,3119,3119,024,146,1,"Construct Meaning","M",1
"237",00307857,0.01510,473.344,0.1971,3119,3119,026,26,2,"Construct Meaning","D",2
"238",00306773,0.01544,429.756,0.2386,3119,3119,028,119,2,"Construct Meaning","E",2
"239",00308299,0.01548,524.713,0.2035,3119,3119,006,94,2,"Construct Meaning","A",3
"240",00306915,0.01562,409.449,0.1963,3119,3119,005,5,2,"Construct Meaning","E",4
"241",00307454,0.01563,553.608,0.2871,3119,3119,019,0,0,"Construct Meaning","M",1
"242",00306819,0.01572,462.979,0.1943,3119,3119,034,128,1,"Construct Meaning","E",3
"243",00308381,0.01572,524.944,0.2000,3119,3119,039,48,1,"Construct Meaning","A",2
"244",00306939,0.01598,508.457,0.2182,3119,3119,031,123,1,"Construct Meaning","E",4
"245",00306927,0.01608,398.816,0.2000,3119,3119,020,138,2,"Construct Meaning","M",2
"246",00306761,0.01612,440.645,0.3186,3119,3119,028,120,1,"Construct Meaning","E",1
"247",00308457,0.01633,448.564,0.2019,3119,3119,002,83,2,"Construct Meaning","A",1
"248",00307472,0.01633,490.346,0.2785,3119,3119,018,135,1,"Construct Meaning","M",3
"249",00306801,0.01635,449.544,0.2187,3119,3119,007,7,1,"Construct Meaning","E",2
"250",00308505,0.01642,636.730,0.2631,3119,3119,008,100,2,"Construct Meaning","A",2
"251",00307592,0.01655,514.697,0.2327,3119,3119,011,75,1,"Construct Meaning","M",4
"252",00307588,0.01660,488.026,0.2618,3119,3119,011,74,1,"Construct Meaning","M",3
"253",00307520,0.01666,471.751,0.1976,3119,3119,025,149,2,"Construct Meaning","M",3
"254",00307356,0.01678,525.607,0.1420,3119,3119,015,0,0,"Construct Meaning","M",4
"255",00307704,0.01700,500.884,0.1750,3119,3119,019,81,1,"Construct Meaning","M",4
"256",00307901,0.01708,500.385,0.1777,3119,3119,016,115,2,"Construct Meaning","D",4
"257",00308373,0.01717,624.899,0.2529,3119,3119,039,50,2,"Construct Meaning","A",1
"258",00308148,0.01751,464.520,0.2087,3119,3119,035,35,2,"Construct Meaning","A",2
"259",00307041,0.01784,471.981,0.2733,3119,3119,036,131,1,"Construct Meaning","E",3
"260",00307945,0.01790,488.879,0.2308,3119,3119,023,55,1,"Construct Meaning","D",1
"261",00307805,0.01791,509.904,0.1797,3119,3119,014,111,2,"Construct Meaning","D",4
"262",00308275,0.01792,513.182,0.2500,3119,3119,007,97,2,"Construct Meaning","A",3
"263",00306787,0.01819,475.064,0.2041,3119,3119,016,79,2,"Construct Meaning","M",4
"264",00307524,0.01834,552.692,0.2211,3119,3119,020,0,0,"Construct Meaning","M",3
"265",00306765,0.01836,490.059,0.1757,3119,3119,028,121,2,"Construct Meaning","E",4
"266",00306775,0.01841,472.113,0.1988,3119,3119,016,78,1,"Construct Meaning","M",4
"267",00306767,0.01845,444.656,0.2165,3119,3119,028,120,2,"Construct Meaning","E",2
"268",00308279,0.01849,546.236,0.1614,3119,3119,007,0,0,"Construct Meaning","A",4
"269",00308427,0.01854,573.018,0.2997,3119,3119,041,53,2,"Construct Meaning","A",2
"270",00307919,0.01881,533.278,0.1680,3119,3119,030,30,1,"Construct Meaning","D",4
"271",00307364,0.01882,514.140,0.2586,3119,3119,031,31,1,"Construct Meaning","D",2
"272",00306909,0.01890,443.195,0.1889,3119,3119,005,67,2,"Construct Meaning","E",3
"273",00307979,0.01890,468.980,0.2220,3119,3119,024,24,2,"Construct Meaning","D",3
"274",00307372,0.01912,574.576,0.1606,3119,3119,031,63,1,"Construct Meaning","D",4
"275",00307612,0.01935,496.772,0.2253,3119,3119,026,0,0,"Construct Meaning","M",3
"276",00307043,0.01939,460.994,0.1613,3119,3119,036,131,2,"Construct Meaning","E",4
"277",00308128,0.01951,538.984,0.1969,3119,3119,017,118,3,"Construct Meaning","D",1
"278",00307410,0.02012,433.311,0.2000,3119,3119,014,14,2,"Construct Meaning","M",2
"279",00307019,0.02019,444.723,0.2207,3119,3119,002,64,2,"Construct Meaning","E",3
"280",00308419,0.02024,598.523,0.2215,3119,3119,041,53,1,"Construct Meaning","A",1
"281",00308375,0.02030,569.787,0.2802,3119,3119,039,49,1,"Construct Meaning","A",3
"282",00307608,0.02031,544.558,0.2633,3119,3119,026,151,3,"Construct Meaning","M",2
"283",00306749,0.02036,381.621,0.1957,3119,3119,004,4,2,"Construct Meaning","E",1
"284",00306719,0.02063,416.624,0.2113,3119,3119,003,3,2,"Construct Meaning","E",3
"285",00307376,0.02063,594.163,0.1850,3119,3119,031,63,2,"Construct Meaning","D",4
"286",00307388,0.02080,523.200,0.1886,3119,3119,021,0,0,"Construct Meaning","M",3
"287",00308407,0.02080,590.597,0.2182,3119,3119,040,52,1,"Construct Meaning","A",4
"288",00306873,0.02098,399.046,0.2733,3119,3119,0,0,0,"Construct Meaning","E",3
"289",00306877,0.02106,415.684,0.2139,3119,3119,0,0,0,"Construct Meaning","E",4
"290",00306745,0.02126,400.397,0.1915,3119,3119,004,4,1,"Construct Meaning","E",4
"291",00307490,0.02159,495.214,0.2454,3119,3119,023,144,1,"Construct Meaning","M",4
"292",00308052,0.02190,472.570,0.1746,3119,3119,015,112,2,"Construct Meaning","D",1
"293",00307606,0.02194,533.666,0.1921,3119,3119,026,151,2,"Construct Meaning","M",1
"294",00308517,0.02236,563.137,0.2535,3119,3119,008,99,2,"Construct Meaning","A",3
"295",00307500,0.02261,471.934,0.2146,3119,3119,023,144,3,"Construct Meaning","M",3
"296",00306663,0.02268,342.657,0.1975,3119,3119,0,0,0,"Construct Meaning","E",3
"297",00306731,0.02298,422.956,0.2301,3119,3119,009,9,1,"Construct Meaning","E",1
"298",00306681,0.02356,526.194,0.2888,3119,3119,035,0,0,"Construct Meaning","E",3
"299",00307368,0.02391,519.462,0.2053,3119,3119,031,31,3,"Construct Meaning","D",4
"300",00307516,0.02393,523.593,0.2206,3119,3119,025,150,2,"Construct Meaning","M",2
"301",00306791,0.02422,480.848,0.1840,3119,3119,007,69,1,"Construct Meaning","E",3
